CAMIS,BORO,BUILDING,STREET,ZIPCODE,PHONE,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,ObjectId,x,y
41633013,Staten Island,4561,AMBOY ROAD,10312,7182275100,11/8/17 0:00,06F,Y,13,A,11/8/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.54243787,-74.16504402,503,51,17011,5073840,5055850080,SI01,1,-74.16504402,40.54243787
50034360,Manhattan,708,W 177TH ST,10033,6464767887,8/8/16 0:00,10F,N,2,A,8/8/16 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.84760229,-73.9383476,112,10,26300,1063508,1021420187,MN36,2,-73.9383476,40.84760229
41275275,Manhattan,29,EAST    3 STREET,10003,2125057344,1/30/18 0:00,08A,N,10,A,1/30/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.72579539,-73.99037062,103,2,3800,1006578,1004590035,MN22,3,-73.99037062,40.72579539
41368569,Bronx,1930,GRAND CONCOURSE,10457,7189018425,3/19/19 0:00,10F,N,4,A,3/19/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.85009961,-73.90545937,205,15,23502,2007721,2028100001,BX41,4,-73.90545937,40.85009961
50076721,Bronx,2857,3RD AVE,10455,3152254750,6/27/19 0:00,10B,N,5,A,6/27/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.81625513,-73.9173106,201,17,6500,2000865,2023280039,BX34,5,-73.9173106,40.81625513
40399886,Queens,6908,GRAND AVENUE,11378,7187797459,8/7/17 0:00,10F,N,13,A,8/7/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.72607441,-73.89505048,405,30,49302,4062593,4027910003,QN30,6,-73.89505048,40.72607441
41703394,Manhattan,134,WEST   29 STREET,10001,2127142222,8/21/19 0:00,04L,Y,21,B,8/21/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74711404,-73.99119038,105,3,9500,1015129,1008040059,MN17,7,-73.99119038,40.74711404
41447825,Manhattan,35,ORCHARD STREET,10002,6465048132,4/26/19 0:00,02G,Y,10,A,4/26/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.71573591,-73.9914651,103,1,1600,1003865,1002990022,MN27,8,-73.9914651,40.71573591
50076111,Queens,4318,MAIN ST,11355,7188868844,10/2/18 0:00,02B,Y,13,A,10/2/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Re-inspection,40.75198414,-73.82648355,407,20,79702,4115474,4051257502,QN22,9,-73.82648355,40.75198414
50083748,Brooklyn,492,NOSTRAND AVE,11216,5185287809,12/3/18 0:00,05D,Y,10,A,12/3/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Re-inspection,40.68207713,-73.94993061,303,36,24500,3052610,3018370058,BK75,10,-73.94993061,40.68207713
41477944,Manhattan,152,WEST   26 STREET,10001,2128077273,7/27/18 0:00,06C,Y,13,A,7/27/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74541515,-73.99290485,104,3,9100,1015028,1008010071,MN13,11,-73.99290485,40.74541515
50040683,Brooklyn,1171,SAINT JOHNS PL,11213,3474420009,10/24/16 0:00,02B,Y,9,A,10/24/16 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.67105739,-73.93964336,308,35,33900,3032080,3012510040,BK61,12,-73.93964336,40.67105739
50088424,Queens,13123,LIBERTY AVE,11419,3479442511,4/18/19 0:00,10E,N,18,B,4/18/19 0:00,10/29/19 0:00,Pre-permit (Operational) / Re-inspection,40.69020265,-73.81459391,410,28,15801,4204043,4095680040,QN55,13,-73.81459391,40.69020265
41004293,Manhattan,808,WEST  181 STREET,10033,2127951891,2/1/17 0:00,06E,Y,9,A,2/1/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.85101144,-73.93869505,112,10,26500,1064298,1021770100,MN36,14,-73.93869505,40.85101144
41388432,Queens,7207,AUSTIN STREET,11375,7189970500,1/16/18 0:00,10F,N,27,B,1/16/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.71922074,-73.84232678,406,29,73700,4078032,4032580028,QN17,15,-73.84232678,40.71922074
